iter	RMSE
0	16.80689842
1	15.62187053
2	14.61626307
3	13.73663587
4	12.92618044
5	12.22959687
6	11.64675583
7	11.13224305
8	10.74292677
9	10.34528264
10	10.01472504
11	9.714203586
12	9.46205708
13	9.2418623
14	9.056453516
15	8.879805613
16	8.729915611
17	8.598183389
18	8.495000475
19	8.378899306
20	8.256778123
21	8.170867737
22	8.092676822
23	8.021027407
24	7.956425313
25	7.867790075
26	7.788024446
27	7.733430109
28	7.66997415
29	7.620169005
30	7.567328772
31	7.50677994
32	7.464817948
33	7.42580926
34	7.3818676
35	7.352196653
36	7.323075398
37	7.293410634
38	7.266894824
39	7.245469446
40	7.227841236
41	7.188546916
42	7.16309566
43	7.142421735
44	7.125902717
45	7.099382622
46	7.084828837
47	7.068915758
48	7.039951939
49	7.02759776
50	7.010539579
51	6.98497814
52	6.973327232
53	6.961328817
54	6.953057999
55	6.943939351
56	6.928827226
57	6.919714554
58	6.912377997
59	6.901029315
60	6.891636689
61	6.886118155
62	6.864215458
63	6.854244675
64	6.844987256
65	6.835723463
66	6.826969146
67	6.820966697
68	6.814547053
69	6.808730235
70	6.80228692
71	6.792612848
72	6.788029484
73	6.784691066
74	6.779816383
75	6.775018241
76	6.763139585
77	6.759775122
78	6.755448508
79	6.748860282
80	6.744240466
81	6.734406302
82	6.730584886
83	6.727194297
84	6.719429046
85	6.717598085
86	6.713551888
87	6.710923596
88	6.705778258
89	6.70168704
90	6.698922722
91	6.691626974
92	6.688306429
93	6.683450369
94	6.680823638
95	6.678095812
96	6.675290059
97	6.668777431
98	6.664860634
99	6.661742179
100	6.658346533
101	6.655737445
102	6.652110503
103	6.648951064
104	6.64481962
105	6.638369056
106	6.637036935
107	6.633015794
108	6.629037188
109	6.627010958
110	6.624156875
111	6.62116497
112	6.618714466
113	6.616174111
114	6.613044347
115	6.610366091
116	6.607497118
117	6.602280204
118	6.599824754
119	6.59719488
120	6.595068667
121	6.591552249
122	6.589767266
123	6.586957832
124	6.58317463
125	6.581055278
126	6.579441502
127	6.577590462
128	6.57452911
129	6.570800169
130	6.568607194
131	6.564321988
132	6.562154626
133	6.560157427
134	6.558680844
135	6.555159433
136	6.553212047
137	6.550701716
138	6.549322508
139	6.545894337
140	6.544346076
141	6.541575563
142	6.539041854
143	6.537368753
144	6.53472014
145	6.532393173
146	6.530984514
147	6.529534961
148	6.527227738
149	6.52497761
150	6.523001829
151	6.521136724
152	6.518995012
153	6.517065818
154	6.514846712
155	6.512938346
156	6.510509755
157	6.508909886
158	6.507719337
159	6.506370376
160	6.504878216
161	6.503071506
162	6.501860508
163	6.500720993
164	6.498664412
165	6.497285526
166	6.496175776
167	6.494173261
168	6.492418905
169	6.490137998
170	6.487203628
171	6.485195919
172	6.483248199
173	6.481925337
174	6.480074827
175	6.478240318
176	6.476395797
177	6.475131781
178	6.473609529
179	6.471793143
180	6.470387534
181	6.468343464
182	6.467386469
183	6.466001945
184	6.464810095
185	6.46365505
186	6.462695621
187	6.461094995
188	6.460166988
189	6.456562093
190	6.455523372
191	6.453928661
192	6.452555731
193	6.451199626
194	6.450033197
195	6.448194542
196	6.446793018
197	6.445797573
198	6.44473401
199	6.443775978
200	6.442623965
201	6.441158917
202	6.440116961
203	6.437560415
204	6.436486607
205	6.435088747
206	6.433515589
207	6.432377734
208	6.431055772
209	6.430335092
210	6.428288615
211	6.426808465
212	6.425100169
213	6.4239238
214	6.42292013
215	6.421913834
216	6.420515965
217	6.419078908
218	6.41823986
219	6.4165959
220	6.415445214
221	6.414493172
222	6.413855936
223	6.412765949
224	6.411525421
225	6.410342112
226	6.409136618
227	6.4069703
228	6.405770537
229	6.403924709
230	6.403189212
231	6.402086417
232	6.400892969
233	6.399763779
234	6.398480369
235	6.397404623
236	6.395925126
237	6.394247521
238	6.393031922
239	6.392145679
240	6.391354238
241	6.390025173
242	6.388986262
243	6.388058484
244	6.386942409
245	6.385496528
246	6.384296181
247	6.383309742
248	6.382419264
249	6.381480758
250	6.380526711
251	6.37985956
252	6.378816067
253	6.377517614
254	6.376713199
255	6.376151786
256	6.375223536
257	6.374313649
258	6.373190422
259	6.372325003
260	6.371657154
261	6.37015343
262	6.369207663
263	6.368273439
264	6.366003274
265	6.364782843
266	6.363808291
267	6.362960013
268	6.362085694
269	6.361076977
270	6.35978295
271	6.358801446
272	6.357953146
273	6.357111622
274	6.356095029
275	6.355096903
276	6.354582445
277	6.353794322
278	6.353007287
279	6.35216787
280	6.351207856
281	6.350376763
282	6.349468985
283	6.348885354
284	6.348159566
285	6.347198401
286	6.346213322
287	6.345112183
288	6.34402137
289	6.342595538
290	6.340843856
291	6.340105242
292	6.33884776
293	6.33772379
294	6.336662518
295	6.335724344
296	6.333920129
297	6.332898914
298	6.331888534
299	6.331255739
300	6.330155359
301	6.329292506
302	6.328591584
303	6.327732785
304	6.326761083
305	6.32599793
306	6.324601752
307	6.323933038
308	6.323186413
309	6.322269178
310	6.321055534
311	6.320375801
312	6.319583566
313	6.318339768
314	6.317552337
315	6.316820498
316	6.315699199
317	6.314788608
318	6.313766465
319	6.312545254
320	6.31162874
321	6.310776066
322	6.310053714
323	6.309078772
324	6.307937421
325	6.307101739
326	6.30640972
327	6.305664198
328	6.304196063
329	6.30348347
330	6.302679753
331	6.301703754
332	6.301105778
333	6.300209456
334	6.299224159
335	6.298298756
336	6.296841607
337	6.296452555
338	6.295845959
339	6.294471842
340	6.29362711
341	6.292733851
342	6.2922313
343	6.290957126
344	6.290072553
345	6.289309319
346	6.288454345
347	6.287596994
348	6.286832099
349	6.28533425
350	6.284824629
351	6.283453045
352	6.28261577
353	6.281853289
354	6.280976153
355	6.280324886
356	6.279365365
357	6.27846369
358	6.277279346
359	6.276535158
360	6.275826179
361	6.274766241
362	6.2739277
363	6.273334269
364	6.271994312
365	6.271248802
366	6.2703795
367	6.269474284
368	6.26863016
369	6.267947356
370	6.267346095
371	6.266338297
372	6.26583838
373	6.265263759
374	6.264185197
375	6.263502989
376	6.262869636
377	6.262174267
378	6.261431194
379	6.260591394
380	6.25992242
381	6.259209265
382	6.258500255
383	6.257103221
384	6.256379473
385	6.255905061
386	6.255307842
387	6.254332778
388	6.253942477
389	6.253412902
390	6.252649906
391	6.251916073
392	6.251070306
393	6.25053731
394	6.249873369
395	6.249270114
396	6.248574041
397	6.248104882
398	6.247154728
399	6.24620075
400	6.24537244
401	6.244645582
402	6.243996038
403	6.24328522
404	6.242704667
405	6.242237287
406	6.241617287
407	6.240863178
408	6.239955748
409	6.239229145
410	6.238771975
411	6.237964618
412	6.237180232
413	6.236156775
414	6.235430995
415	6.234353087
416	6.233764892
417	6.232989709
418	6.232093914
419	6.231483569
420	6.231151817
421	6.230704443
422	6.230233496
423	6.229705687
424	6.228965461
425	6.22836373
426	6.227831526
427	6.227197159
428	6.226645379
429	6.2258208
430	6.22480749
431	6.223914901
432	6.223314632
433	6.222911816
434	6.222274583
435	6.221131199
436	6.220736151
437	6.219862846
438	6.219182251
439	6.21842284
440	6.217682734
441	6.217039444
442	6.216382429
443	6.215430238
444	6.214630336
445	6.213954793
446	6.213198537
447	6.212845245
448	6.212141936
449	6.211470018
450	6.210682759
451	6.209698161
452	6.209354851
453	6.208750275
454	6.207957207
455	6.207360008
456	6.206382147
457	6.205448049
458	6.204533952
459	6.204067928
460	6.203444145
461	6.202826243
462	6.20210951
463	6.201391134
464	6.200905543
465	6.200237929
466	6.199692595
467	6.198960913
468	6.19797117
469	6.197323118
470	6.196098226
471	6.195081383
472	6.194687045
473	6.193536669
474	6.192675842
475	6.191809246
476	6.191368571
477	6.190631832
478	6.189507327
479	6.188754836
480	6.187882071
481	6.187216635
482	6.186656748
483	6.186313833
484	6.185518887
485	6.184708355
486	6.183986876
487	6.183542323
488	6.182522967
489	6.181823812
490	6.181074142
491	6.179925769
492	6.179242066
493	6.178636151
494	6.178073533
495	6.177221746
496	6.176727293
497	6.176271089
498	6.17534656
499	6.174775045
