iter	Passed	Remaining
0	97	48792
1	105	26384
2	113	18790
3	121	15116
4	129	12842
5	137	11313
6	145	10218
7	152	9371
8	159	8693
9	166	8171
10	173	7730
11	181	7378
12	188	7065
13	196	6812
14	203	6575
15	210	6368
16	217	6191
17	225	6029
18	232	5877
19	239	5752
20	246	5629
21	253	5513
22	260	5411
23	268	5319
24	275	5233
25	282	5150
26	289	5077
27	297	5007
28	304	4937
29	311	4873
30	318	4816
31	325	4762
32	332	4704
33	339	4648
34	346	4607
35	353	4556
36	360	4508
37	367	4468
38	374	4429
39	381	4390
40	388	4349
41	395	4315
42	403	4283
43	410	4253
44	417	4218
45	424	4187
46	431	4155
47	438	4127
48	445	4099
49	452	4072
50	459	4045
51	467	4023
52	474	3997
53	481	3978
54	488	3950
55	495	3925
56	502	3904
57	509	3881
58	516	3862
59	524	3843
60	531	3821
61	537	3798
62	545	3781
63	552	3762
64	559	3744
65	566	3725
66	573	3708
67	580	3688
68	587	3669
69	594	3651
70	601	3635
71	608	3617
72	615	3600
73	622	3582
74	629	3567
75	636	3551
76	643	3537
77	650	3520
78	658	3506
79	665	3492
80	672	3476
81	679	3464
82	686	3450
83	693	3436
84	700	3422
85	708	3409
86	715	3396
87	722	3381
88	729	3369
89	736	3355
90	743	3340
91	750	3327
92	757	3313
93	764	3300
94	770	3285
95	777	3271
96	784	3258
97	791	3244
98	798	3233
99	804	3219
100	811	3206
101	818	3194
102	825	3181
103	832	3169
104	839	3157
105	846	3145
106	852	3132
107	860	3122
108	867	3111
109	874	3099
110	880	3087
111	888	3076
112	895	3065
113	902	3054
114	909	3044
115	916	3033
116	923	3022
117	930	3013
118	937	3002
119	944	2992
120	952	2982
121	959	2973
122	967	2964
123	974	2954
124	981	2944
125	988	2933
126	995	2923
127	1002	2913
128	1009	2902
129	1016	2892
130	1022	2881
131	1030	2872
132	1036	2861
133	1043	2850
134	1050	2840
135	1057	2830
136	1064	2820
137	1071	2811
138	1078	2802
139	1086	2793
140	1093	2783
141	1100	2774
142	1107	2765
143	1114	2755
144	1122	2747
145	1129	2739
146	1136	2730
147	1143	2720
148	1150	2710
149	1157	2700
150	1164	2690
151	1170	2680
152	1177	2671
153	1184	2661
154	1191	2651
155	1197	2641
156	1204	2631
157	1211	2622
158	1218	2612
159	1224	2603
160	1231	2593
161	1238	2584
162	1245	2575
163	1252	2566
164	1259	2557
165	1266	2547
166	1273	2538
167	1280	2530
168	1287	2522
169	1294	2513
170	1301	2504
171	1309	2496
172	1316	2487
173	1323	2478
174	1329	2469
175	1336	2461
176	1344	2453
177	1351	2444
178	1358	2435
179	1365	2427
180	1372	2418
181	1379	2409
182	1386	2401
183	1393	2392
184	1399	2383
185	1406	2374
186	1413	2365
187	1420	2357
188	1427	2348
189	1435	2341
190	1442	2333
191	1448	2324
192	1455	2315
193	1462	2307
194	1470	2299
195	1477	2291
196	1484	2283
197	1491	2275
198	1498	2267
199	1505	2258
200	1512	2249
201	1519	2241
202	1526	2233
203	1533	2225
204	1540	2217
205	1547	2208
206	1554	2200
207	1561	2192
208	1568	2183
209	1575	2175
210	1582	2166
211	1589	2159
212	1596	2151
213	1603	2143
214	1610	2134
215	1617	2126
